TGEAPCET-2024 LAST RANK STATEMENT FIRST PHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inst
 Code",Institute Name,Place,"Dist 
Code",Co Education,College Type,Year of Estab,Branch Code,Branch Name,"OC 
BOYS","OC 
GIRLS","BC_A 
BOYS","BC_A 
GIRLS","BC_B 
BOYS","BC_B 
GIRLS","BC_C 
BOYS","BC_C 
GIRLS","BC_D 
BOYS","BC_D 
GIRLS","BC_E 
BOYS","BC_E 
GIRLS","SC 
BOYS","SC 
GIRLS","ST 
BOYS","ST 
GIRLS","EWS 
GEN OU","EWS 
GIRLS OU",Tuition Fee,Affiliated To
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,26588,29938,52666,62471,38568,38568,26588,108434,38368,38368,53852,53852,70513,75671,70477,83930,30771,38034,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),37420,37420,72671,72671,49319,52239,37420,37420,52828,73705,70732,74189,94651,94651,100577,168832,47357,47357,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,54242,54242,101521,101521,76946,85866,54242,54242,75251,82142,134835,134835,125763,125763,119658,174032,82588,82588,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,70937,70937,146480,146480,109373,109373,70937,70937,108683,108683,70937,70937,162464,171633,131469,172264,97335,101749,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,78553,117306,78553,117306,124311,124311,130268,130268,114574,135572,104771,145196,152472,156911,127265,127265,143809,143809,60000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,80955,83508,135353,145202,116671,116671,80955,83508,100006,100006,157796,157796,165028,176884,165208,173472,97967,97967,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31984,31984,70795,70795,45278,45278,89745,108152,41539,41539,80780,80780,99227,107709,125744,146241,35134,35134,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,23711,23711,57406,57406,35719,35719,87671,87671,34098,34098,64109,74019,77511,77511,88227,116375,27936,27936,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),27860,27860,61373,61373,40349,40349,27860,99424,39077,39077,67133,67133,90130,90130,112785,133887,30484,30484,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),37808,37808,87845,94451,50143,56117,37808,37808,49866,49866,42888,123270,120531,120531,147546,176719,42732,42732,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,37595,38188,87611,87611,50125,53544,63173,63173,51332,51332,78827,88921,122782,122782,136345,137284,46707,46707,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,51674,51674,124179,124179,81055,95338,51674,51674,80175,80175,51674,122626,144440,165084,138382,158921,79242,80152,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,INF,INFORMATION TECHNOLOGY,34980,34980,71250,79780,42211,50783,34980,34980,45326,45326,95661,95661,101981,117066,132870,132870,35697,35697,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,60813,100014,105181,124523,110770,132466,104832,104832,91013,155283,60813,100014,157564,157564,165440,166439,91325,157762,110000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CIV,CIVIL ENGINEERING,136818,136818,172484,172484,178345,178345,136818,136818,153086,153086,136818,136818,171415,171415,179610,179610,136818,136818,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),62749,64811,121443,148629,97552,97552,62749,64811,85201,87707,62749,133139,160176,160176,169231,173424,82392,82392,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,57210,57210,116426,116426,84674,84674,127233,127233,74175,74175,86020,86020,138423,138423,161246,161246,70034,85774,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),63258,63258,113661,113661,95054,95054,63258,63258,80961,93339,97211,123586,151602,160002,165197,167739,76185,76185,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,44493,76314,140598,158381,106417,106417,44493,76314,101393,104757,144559,144559,165042,165042,165116,178024,90413,106426,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,48969,48969,159903,159903,132444,132444,48969,48969,48969,161169,48969,48969,170963,177116,176611,176611,154165,154165,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,121375,139847,152358,152358,121375,156948,121375,139847,150603,150603,121375,139847,179446,179446,121375,139847,121375,139847,75000,JNTUH
