TGEAPCET-2024 LAST RANK STATEMENT SECOND PHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inst
 Code",Institute Name,Place,"Dist 
Code",Co Education,College Type,Year of Estab,Branch Code,Branch Name,"OC 
BOYS","OC 
GIRLS","BC_A 
BOYS","BC_A 
GIRLS","BC_B 
BOYS","BC_B 
GIRLS","BC_C 
BOYS","BC_C 
GIRLS","BC_D 
BOYS","BC_D 
GIRLS","BC_E 
BOYS","BC_E 
GIRLS","SC 
BOYS","SC 
GIRLS","ST 
BOYS","ST 
GIRLS","EWS 
GEN OU","EWS 
GIRLS OU",Tuition Fee,Affiliated To
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,29992,29992,103834,103834,59947,60553,29992,83767,60701,60701,103833,103833,111734,111734,70477,103489,53223,53223,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29175,29175,117068,123139,64993,71968,29175,29175,68158,82570,88515,161711,148559,148559,128282,168832,52200,52200,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,35712,45133,144723,144723,100079,100079,35712,45133,80161,94922,157375,157375,169693,170317,162226,174032,67995,67995,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,79810,103784,145494,157902,128544,158559,79810,103784,121320,134360,79810,103784,173329,173329,170070,175076,105276,126017,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,39600,39600,128731,164419,163547,163547,124248,124248,123531,160573,163871,163871,167756,179025,166439,166439,39600,136049,60000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,80955,99055,135353,162197,119589,119589,80955,99055,94917,105672,143713,144598,169175,174914,168218,173472,111926,111926,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),32457,32457,70795,70795,51541,52452,148223,148223,50083,50083,80780,80780,99227,107709,125744,148167,35697,37441,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,27584,27965,61518,61518,44617,47542,89745,129991,42607,42607,77242,85471,86995,94719,103384,122308,32524,32524,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29862,29862,63685,63685,45445,50046,29862,105104,44625,44625,87888,89407,90148,96823,112785,135130,34646,35282,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),37715,37715,87845,97603,66519,66519,37715,37715,56152,57720,87173,126471,120199,120451,147546,169584,42732,42732,110000,JNTUH
